fips_code,pct_no_hs_degree_2000,pct_no_hs_degree_08_12,pct_no_hs_degree_18_22
8047,25.6,23.03627191928897,16.680978960927437
8049,24.0,27.76745913818722,28.212151394422314
8051,17.8,16.33663366336634,16.980461811722915
8053,20.7,22.43125904486252,14.358322744599747
8055,32.4,27.52169720347155,25.97830298333979
8057,36.1,36.20037807183365,25.37174721189591
8059,22.6,21.49481709284071,19.163073909163476
8061,35.5,26.5375854214123,28.387096774193548
8063,31.6,31.24231242312423,29.84576907044602
8065,27.3,19.50867052023121,26.36467020470053
8067,23.1,19.86532951289398,21.33996880338706
8069,21.3,19.0187149642358,16.703605509881488
8071,27.2,28.19614711033275,27.078026228889517
8073,35.0,37.97499999999999,41.32762312633833
8075,32.0,34.09334763948497,37.501662013030185
8077,30.3,30.59712200721548,28.84940391906089
8079,28.4,25.72347266881029,15.766423357664234
8081,33.5,36.46453089244851,41.372418387741504
8083,33.1,28.26086956521739,31.024546424759876
8085,33.4,32.04147124166872,33.170983453214205
8087,31.0,31.03467499163786,31.725014564906516
8089,30.7,31.29819540504015,32.59235819950953
8091,21.6,21.66992460206646,13.70059880239521
8093,26.7,24.01594014313598,23.08885754583921
8095,32.1,32.13523131672598,29.4335805799056
8097,10.9,10.26032521566532,14.030668938439883
8099,28.9,29.36116382036686,31.20774227760838
8101,31.0,28.56057584563083,29.50566603998137
8103,32.0,35.52272727272727,34.83766981349298
8105,30.0,30.38340666247643,28.497281265447356
8107,17.7,17.83734389278099,18.189094013445736
8109,24.8,27.95774647887324,31.56498673740053
8111,14.5,20.0,30.61594202898551
8113,15.1,17.24390690855781,17.765042979942695
8115,35.5,34.29752066115703,25.785797438882422
8117,17.7,16.25288825524802,16.81912681912682
8119,23.5,26.22025714119495,21.931277168288137
8121,33.6,35.28888888888888,28.36795252225519
8123,26.9,26.25875002410475,24.862221892338237
8125,33.8,34.01401102995975,27.09270927092709
9110,,,25.167272371846707
9120,,,25.173332129637988
9130,,,23.787220843672458
9140,,,30.07717214316462
9150,,,34.849100406268136
9160,,,28.5900893818261
9170,,,28.398077875354964
9180,,,29.617961619175244
9190,,,18.483750139763703
10001,32.9,33.7557669850872,33.14198239571374
10003,29.6,28.91591304836264,28.32915637178414
10005,35.6,36.86492013137531,30.42167682424642
11001,20.6,19.06274554897564,15.026124854517992
12001,20.3,21.02718701286216,20.049367552054424
12003,41.4,47.88091673384775,42.37531205184044
12005,30.6,31.17146121092533,28.099186325948704
12007,40.1,37.15876613777471,38.96471288897712
12009,28.9,29.89098948010367,26.142274584856878
12011,28.4,27.92929628073073,26.776212323344073
12013,38.6,40.61469846810161,41.99681465259805
12015,35.7,34.28762479395391,33.69978697504565
12017,38.0,38.7430382612633,37.68237708228983
12019,31.7,29.9042659723613,27.91040843214756
12021,26.2,27.09692040389797,25.91378979407168
12023,34.9,34.45894090560245,36.052555587640775
12027,35.3,39.11381407471764,39.78898569259052
12029,39.4,38.21073908076281,48.27861650291557
12031,29.1,28.88958084418935,27.942698308379356
12033,28.3,29.28424459954152,27.547920284841016
12035,31.9,33.51452856295711,30.95369167419021
12037,36.4,35.23668974912022,32.21352019785655
12039,35.9,36.93147744847394,35.16864592534433
12041,36.1,40.42685086787106,39.077161690577746
12043,36.8,39.49517446176689,34.549064688055175
12045,37.1,36.41418822141713,34.102585698643985
12047,35.1,40.87097100131353,44.141252006420544
12049,31.5,34.20518332736176,47.04179482540257
12051,29.1,34.24920127795527,36.44246543238809
12053,37.7,37.90692559074912,32.61740500312356
12055,34.6,36.19927194283403,35.52228993349685
12057,26.7,27.98923773855161,25.95077901053038
12059,37.8,38.14704209328782,45.7102373361672
12061,29.1,28.09606986899563,26.691705442360526
12063,32.7,34.94112640090793,39.688414529178864
12065,32.2,36.09528257823447,37.24367263994088
12067,40.1,39.75755446240337,50.460436562073674
12069,34.3,34.62251031449389,30.581785377169545
12071,32.5,32.53750654631712,30.185570898368862
12073,18.9,20.1297479075954,19.1679566784529
12075,38.2,38.34338811455516,41.79057558706108
12077,40.4,40.57274991106367,41.62436548223351
12079,34.2,39.74708465848857,35.72835363629732
12081,31.9,30.82326245474479,29.292869981634258
12083,35.9,36.30996340242562,35.122077535108595
12085,28.3,26.3969517784288,24.820759591784007
12086,22.3,27.91379989835937,26.482916474927258
12087,28.9,29.20658314910342,28.26056502451553
12089,34.4,34.9863432965926,29.264877135570984
12091,27.1,27.57882791602497,24.601212287250437
12093,33.9,34.02488052795267,35.62711625282167
12095,25.8,27.13193236019904,24.00807843242801
12097,33.9,35.57202940045788,29.622614851783823
12099,26.9,26.03612550101098,23.102300024649296
12101,36.8,34.70628862557966,33.140431068592775
12103,29.7,30.4311721401833,26.60969883962707
12105,33.7,36.21371499287079,33.909498285238925
12107,37.3,39.42741164302024,41.73883318140383
12109,24.5,21.7278295525604,20.869232819800924
12111,32.7,34.11331438947077,30.80317019364327
12113,29.2,27.57473481195757,27.30780780780781
12115,30.1,31.04978895597746,26.414222454059388
12117,24.4,24.84754758097113,21.311563746093327
12119,38.8,34.15682845066317,29.17916231425009
12121,38.8,42.26035826610146,40.48582995951417
12123,40.9,37.81372002230898,44.09260076957043
12125,38.9,38.20069840102922,39.235829503469404
12127,32.3,32.51532883500854,30.874783111625213
12129,34.9,38.22657316327011,36.672430830039524
12131,32.3,30.80690706449759,28.100023038616268
12133,38.8,40.60550563726893,42.61656609983543
13001,37.2,43.95138265763929,38.06073434828625
13003,36.0,38.39268340143997,34.7293343087052
