fips_code,population_estimate_2020,population_estimate_2021,population_estimate_2022,population_estimate_2023
38005,5935,5773,5772,5745
38007,933,963,1025,1034
38009,6388,6448,6384,6349
38011,2980,2900,2899,2867
38013,2194,2154,2132,2134
38015,98601,98965,99396,100012
38017,184876,189377,192713,196362
38019,3704,3680,3608,3596
38021,4969,4901,4928,4900
38023,2205,2182,2169,2135
38025,4098,4018,3994,4019
38027,2324,2324,2307,2263
38029,3286,3257,3254,3224
38031,3387,3364,3380,3309
38033,1721,1755,1746,1743
38035,73141,72586,72421,72708
38037,2286,2303,2238,2215
38039,2291,2281,2249,2248
38041,2467,2425,2411,2415
38043,2382,2354,2381,2342
38045,4101,4079,4076,4096
38047,1885,1863,1838,1869
38049,5332,5238,5195,5131
38051,2517,2517,2495,2488
38053,14776,13858,13889,14252
38055,9766,9823,9858,9832
38057,8347,8339,8327,8309
38059,33315,33565,33705,33895
38061,9788,9562,9241,9383
38063,2994,3049,2999,2991
38065,1869,1876,1862,1879
38067,6838,6773,6745,6661
38069,3982,3944,3931,3902
38071,11572,11611,11516,11463
38073,5692,5682,5647,5603
38075,2274,2265,2250,2279
38077,16534,16557,16574,16558
38079,12193,12067,11867,11728
38081,3828,3829,3804,3776
38083,1259,1263,1286,1266
38085,3880,3747,3686,3643
38087,703,696,682,674
38089,33832,33029,32718,33001
38091,1794,1806,1793,1782
38093,21540,21579,21476,21392
38095,2147,2128,2060,2030
38097,7987,7987,7955,7908
38099,10529,10490,10460,10305
38101,69921,69364,68788,68332
38103,3972,3903,3922,3876
38105,41182,38499,37966,39113
39001,27440,27574,27459,27521
39003,102125,101784,101097,100838
39005,52470,52183,52024,52190
39007,97495,97439,96960,96845
39009,62393,59096,60881,62706
39011,46472,46255,45946,46050
39013,66292,65899,65495,64918
39015,43673,43696,43700,43777
39017,390878,387619,389728,393043
39019,26702,26700,26686,26758
39021,38743,38794,38743,38845
39023,135887,135608,134732,134610
39025,208750,209893,210679,211972
39027,42028,42115,41890,41938
39029,101642,101352,100569,100182
39031,36584,36658,36615,36869
39033,42013,41782,41509,41529
39035,1262573,1247496,1236994,1233088
39037,51893,51642,51526,51415
39039,38262,38170,38128,38315
39041,215166,221282,226526,231636
39043,75481,74886,74514,74035
39045,159448,161209,162956,165360
39047,28975,28934,28832,28817
39049,1324441,1317346,1321730,1326063
39051,42646,42499,42158,42007
39053,29233,29224,29030,28986
39055,95387,95708,95491,95407
39057,168131,168236,169027,169691
39059,38423,38287,38060,38089
39061,830377,827430,824721,827058
39063,74928,74764,74774,74704
39065,30727,30448,30391,30368
39067,14491,14458,14351,14159
39069,27668,27560,27526,27520
39071,43359,43444,43426,43614
39073,28040,28101,27818,27540
39075,44227,44349,44375,44386
39077,58495,58412,58219,58199
39079,32662,32539,32611,32606
39081,65178,65085,64273,64026
39083,62803,62543,63196,63320
39085,232516,232222,231736,231640
39087,58137,57408,56572,56118
39089,178784,180021,181765,183201
39091,46116,46158,46062,46057
39093,313498,314216,316031,317910
39095,430859,429482,426719,425484
39097,43849,44428,43581,44602
39099,228009,226529,225922,225596
39101,65388,65310,64609,64851
39103,182646,183394,183489,184042
39105,22159,22078,21961,21767
39107,42542,42392,42424,42439
39109,108959,109411,110213,110876
39111,13350,13331,13215,13153
39113,537119,536155,533474,533796
39115,13762,13703,13669,13646
39117,34980,35205,35336,35595
39119,86468,86577,86114,86305
39121,14090,14309,14325,14311
39123,40296,40166,39968,39803
39125,18811,18902,18762,18706
39127,35446,35464,35471,35551
39129,58656,58765,60007,61086
39131,27072,27094,27012,27001
39133,161853,159076,161742,162665
39135,41007,40871,40574,40556
39137,34385,34341,34330,34199
39139,124966,125341,125261,125064
39141,77049,76500,76508,76501
39143,58856,58741,58567,58709
39145,73848,72989,72189,71969
39147,55054,54864,54534,54527
39149,48146,48023,47684,47765
39151,374522,373792,372785,372716
39153,539821,537436,535769,535733
39155,201681,201572,200726,200373
39157,93193,92618,91971,91874
39159,63085,65106,66876,69637
39161,28916,28784,28804,28704
39163,12801,12703,12577,12474
39165,243228,246828,249735,252148
39167,59647,59486,58868,58577
39169,116923,116175,116552,116510
39171,37078,36763,36648,36591
39173,132256,130310,131642,132650
39175,21864,21689,21552,21457
40001,19456,19442,19516,19627
40003,5711,5695,5689,5673
40005,14165,14294,14327,14525
40007,5030,4994,5019,5018
40009,22334,22032,21976,22042
40011,8701,8547,8445,8539
40013,46330,47126,48038,48967
40015,26909,26461,26237,26214
40017,155434,161999,169254,175829
40019,48042,48254,48336,48596
40021,47096,47659,48074,48185
40023,14205,14363,14407,14276
40025,2289,2247,2233,2191
40027,296236,298110,299484,301193
40029,5279,5304,5291,5266
40031,121125,122324,122225,121574
40033,5535,5442,5449,5427
40035,14141,14201,14176,14494
40037,71841,72224,72686,73332
40039,28449,28175,28039,28266
40041,40392,40970,41480,41703
40043,4475,4418,4404,4286
40045,3739,3733,3683,3648
40047,62691,61964,61951,62023
40049,25647,25770,25771,25865
40051,54881,55595,56648,57375
40053,4180,4145,4122,4083
40055,5492,5480,5546,5466
40057,2476,2403,2416,2392
40059,3252,3177,3165,3190
40061,11550,11615,11667,11832
40063,13346,13401,13434,13436
40065,24747,24744,24659,24669
40067,5322,5390,5408,5347
40069,10249,10332,10346,10216
40071,43599,43715,43738,43641
40073,15178,15223,15228,15481
40075,8501,8404,8480,8398
40077,9479,9454,9556,9526
40079,48197,48603,49002,49596
40081,33498,33846,34134,34562
40083,49736,50900,51924,53029
40085,10158,10237,10174,10296
40087,41914,43535,45410,47072
40089,30852,30824,30773,30660
40091,18950,19249,19403,19603
40093,7746,7636,7536,7581
40095,15340,15552,15921,15970
40097,39059,39259,39570,39889
40099,13876,13716,13681,13754
40101,66246,66267,66307,66677
40103,10927,10941,10845,10832
40105,9320,9352,9413,9438
40107,11268,11222,11227,11300
40109,798241,799845,803103,808866
40111,36693,36848,37011,37035
40113,45787,45882,45852,46130
40115,30222,30380,30329,30287
40117,15557,15707,15681,15864
40119,81648,82163,82701,83352
40121,43788,43630,43476,43479
40123,38095,38184,38032,38396
40125,72559,73045,73351,73791
40127,10792,10767,10709,10800
40129,3429,3365,3337,3295
40131,95386,96871,99060,100248
40133,23517,23542,23464,23565
40135,39257,39494,39801,40291
40137,42822,43110,43616,44014
40139,21289,20849,20505,20371
40141,6947,7040,6971,6869
40143,670702,674051,677061,682868
40145,81384,84230,86697,89280
40147,52615,52903,53238,53706
40149,10903,10899,10736,10736
40151,8598,8623,8602,8564
40153,20412,20241,20015,19947
41001,16731,16880,16937,16912
41003,95214,96321,97661,97713
41005,422468,423804,423118,423173
41007,41162,41932,41652,41102
41009,52724,53202,53607,53880
41011,64979,65126,64923,64212
41013,24929,25762,26377,26952
41015,23519,23719,23613,23296
41017,199464,205283,206483,208513
41019,111295,112149,112290,112435
41021,2016,2013,2008,2026
41023,7240,7288,7225,7215
41025,7507,7602,7532,7440
41027,23962,24086,24035,23745
41029,223620,224353,221669,220768
41031,24581,25105,25324,25454
41033,88238,88637,87800,87821
41035,69553,70246,70190,70003
41037,8172,8290,8373,8293
41039,383308,384121,382181,381181
41041,50510,51013,50752,50821
41043,128981,130120,130622,131496
41045,31642,31677,31858,32044
41047,346350,347851,346719,346741
41049,12221,12359,12292,12302
41051,816514,805319,794563,789698
41053,87956,89373,89593,89805
41055,1871,1907,1947,1951
41057,27461,27808,27521,27417
41059,80108,80153,80261,80053
41061,26173,26288,26165,25944
41063,7406,7558,7650,7674
41065,26640,26739,26555,26333
41067,601130,602453,600086,598865
41069,1454,1447,1435,1436
41071,107945,108481,108362,108644
42001,103798,105686,105959,106748
42003,1249565,1245220,1232605,1224825
42005,65470,65212,64704,64074
42007,167873,166967,165737,165631
42009,47568,47487,47421,47350
42011,428671,429635,431573,432821
42013,122666,122150,120734,120273
42015,59968,60137,59854,59695
42017,646173,647397,645557,645984
42019,194077,196759,197368,198413
42021,133211,132237,131429,130668
42023,4527,4458,4406,4380
42025,64752,65522,65493,65458
42027,157979,157984,157533,157795
42029,534830,540939,546638,549784
42031,37199,37594,37227,36970
42033,80432,78335,77824,77090
42035,37370,38015,37776,37607
42037,64686,64981,65289,65439
42039,83807,83209,82405,82001
42041,260258,265537,268532,270738
42043,286710,288252,288687,289234
42045,576356,576892,575873,576720
42047,30946,30796,30467,30198
42049,270578,269257,268840,267571
42051,128588,127122,125368,123915
42053,6958,6890,6603,6449
42055,155949,156573,156951,157854
42057,14579,14551,14554,14468
42059,35868,35284,34529,34357
42061,44049,43958,43297,43514
42063,83151,83201,83064,83094
42065,44487,44120,43731,43612
42067,23484,23355,23281,23243
42069,215539,216043,215750,216123
42071,552821,556292,556660,558589
42073,85970,85554,84812,84472
42075,143278,143759,143902,144252
42077,374501,375889,376274,377754
42079,325217,325942,326496,327388
42081,114125,113561,113034,112724
42083,40399,40317,39819,39519
42085,110550,109958,109137,108503
42087,46137,46171,45984,45922
42089,168314,168676,167451,166053
42091,856998,864249,865044,868742
42093,18131,18089,18054,17860
42095,312784,318157,317900,319091
42097,91545,90989,90123,90120
42099,45825,45943,46113,46083
42101,1600684,1589623,1566836,1550542
42103,58574,59997,60576,61247
42105,16383,16311,16206,15999
42107,142963,143157,143188,143786
42109,39733,39734,39506,39717
42111,74019,72989,72629,72197
42113,5828,5859,5845,5834
42115,38346,38417,38139,38109
42117,41025,41308,40967,40840
42119,42646,42469,42690,42042
42121,50365,50040,49734,49431
42123,38511,38161,37818,37572
42125,209434,210054,209940,210232
42127,51151,51188,51084,51262
42129,354346,353717,351998,351163
42131,26032,26106,26024,25902
42133,456720,459183,461049,464640
44003,170406,171077,171134,171278
44005,85515,85608,84721,83832
44007,659963,658782,657424,660615
44009,129776,130851,130256,129982
45001,24266,24262,24338,24434
45003,169168,171247,174228,177130
45005,7934,7714,7418,7369
45007,204195,206885,209652,213076
45009,13260,13117,12950,12974
45011,20586,20594,20471,20447
45013,187815,191997,196147,198979
45015,231533,236857,244952,255217
45017,14114,14138,14197,14186
45019,409899,414514,419350,424367
45021,56220,56098,56121,56714
45023,32284,32148,31993,32226
45025,43256,43337,43741,44031
45027,30841,30961,30927,31004
45029,38537,38459,38580,38874
45031,62848,62725,62436,62416
45033,28277,27970,27747,27698
45035,162043,163452,166050,169833
45037,25671,26274,26959,27607
45039,20887,20695,20450,20422
45041,136817,136401,136740,137214
45043,63509,63925,64669,65731
45045,527249,534648,547845,558036
45047,69390,69126,69223,69460
45049,18515,18244,18136,18122
45051,353765,366093,383147,397478
45053,29150,30431,31986,33544
45055,65590,66205,67850,69905
45057,96588,100529,104724,108215
45059,67634,67835,67951,68873
45061,16539,16272,16161,15967
45063,295047,300650,305105,309528
45065,9518,9764,9741,9941
45067,29086,28852,28471,28508
45069,26490,26235,26006,25704
45071,37731,37968,38315,38825
45073,78784,79318,80160,81221
45075,83954,82815,83101,82820
45077,131684,132097,133470,135495
45079,415671,417294,421526,425138
45081,18828,18822,18984,19123
45083,329379,335397,345948,356698
45085,105476,104854,103936,104165
45087,27181,27010,26739,26629
45089,30914,30418,30113,29891
45091,284028,289201,294201,298320
