fips_code,unemployment_rate_2020,unemployment_rate_2021,unemployment_rate_2022
48049,6.5,5.2,4.3
48051,6.4,4.9,3.6
48053,4.800000000000001,3.8,3.0
48055,6.5,4.9,3.5
48057,5.800000000000001,4.9,3.7
48059,5.5,4.7,3.6
48061,10.1,8.0,5.7
48063,7.4,5.9,4.5
48065,4.2,3.9,3.1
48067,7.9,6.600000000000001,4.7
48069,3.6,3.6,3.1
48071,9.4,8.1,5.300000000000001
48073,8.0,6.4,4.4
48075,3.7,3.7,2.8
48077,5.5,5.0,3.8
48079,7.2,6.300000000000001,4.800000000000001
48081,5.5,4.800000000000001,3.5
48083,7.4,6.0,4.3
48085,6.300000000000001,4.4,3.2
48087,4.2,4.5,3.5
48089,5.600000000000001,4.800000000000001,3.5
48091,6.100000000000001,4.600000000000001,3.5
48093,5.5,4.600000000000001,3.5
48095,4.5,4.3,3.1
48097,7.100000000000001,5.100000000000001,3.4
48099,6.600000000000001,5.7,4.5
48101,4.9,4.5,2.7
48103,13.7,9.3,5.0
48105,8.9,6.600000000000001,4.0
48107,5.4,5.600000000000001,4.100000000000001
48109,6.600000000000001,4.800000000000001,2.9
48111,2.8,2.7,2.4
48113,7.800000000000001,5.600000000000001,3.7
48115,8.700000000000001,6.800000000000001,4.4
48117,3.6,3.7,3.0
48119,5.5,4.9,4.0
48121,6.4,4.4,3.2
48123,6.100000000000001,4.9,3.4
48125,6.2,5.2,4.800000000000001
48127,6.4,5.600000000000001,3.8
48129,4.4,4.2,3.6
48131,12.2,8.0,4.5
48133,6.7,5.7,4.600000000000001
48135,11.1,8.0,3.9
48137,3.6,4.3,2.8
48139,6.0,4.5,3.5
48141,8.3,6.2,4.3
48143,5.7,4.5,3.5
48145,6.100000000000001,5.300000000000001,4.100000000000001
48147,4.7,4.100000000000001,3.5
48149,4.7,4.3,3.5
48151,4.5,4.2,3.5
48153,6.2,5.7,4.100000000000001
48155,4.2,3.4,3.2
48157,7.600000000000001,5.9,3.9
48159,5.4,4.4,3.2
48161,8.4,7.2,5.300000000000001
48163,5.7,4.800000000000001,3.4
48165,5.600000000000001,4.600000000000001,3.0
48167,8.8,6.600000000000001,4.4
48169,6.800000000000001,4.9,4.100000000000001
48171,4.800000000000001,3.4,2.6
48173,3.6,3.1,2.6
48175,7.800000000000001,6.5,4.4
48177,5.4,4.3,3.2
48179,8.1,6.600000000000001,4.5
48181,5.9,4.7,3.7
48183,8.3,6.4,4.2
48185,8.1,6.600000000000001,4.5
48187,6.100000000000001,4.5,3.4
48189,6.800000000000001,6.100000000000001,4.9
48191,5.800000000000001,5.5,4.2
48193,4.600000000000001,4.100000000000001,3.4
48195,3.5,3.1,2.4
48197,4.4,4.3,3.5
48199,8.9,7.9,5.2
48201,9.0,6.4,4.2
48203,7.9,6.600000000000001,4.5
48205,2.0,2.2,2.0
48207,4.3,4.0,3.0
48209,6.300000000000001,4.100000000000001,3.0
48211,4.600000000000001,4.4,3.3
48213,6.4,5.2,3.8
48215,11.7,9.1,6.5
48217,6.300000000000001,5.0,3.9
48219,8.0,5.9,3.7
48221,6.600000000000001,5.2,3.7
48223,5.100000000000001,4.4,3.5
48225,5.300000000000001,4.9,3.6
48227,8.1,6.4,5.100000000000001
48229,8.1,5.7,4.0
48231,6.600000000000001,5.2,3.9
48233,7.2,5.9,4.5
48235,6.100000000000001,4.800000000000001,3.0
48237,7.0,5.5,3.8
48239,5.800000000000001,5.0,3.5
48241,11.3,9.600000000000001,6.4
48243,5.100000000000001,4.3,3.4
48245,12.0,9.8,6.2
48247,9.600000000000001,8.700000000000001,5.4
48249,13.0,9.9,5.7
48251,6.5,4.9,3.5
48253,7.100000000000001,6.100000000000001,4.3
48255,6.300000000000001,5.2,3.3
48257,6.4,4.9,3.7
48259,5.100000000000001,3.9,3.1
48261,5.600000000000001,5.9,6.100000000000001
48263,3.9,2.9,2.1
48265,5.9,4.600000000000001,3.6
48267,5.0,4.2,3.4
48269,1.7,0.9,0.9
48271,6.0,5.600000000000001,4.7
48273,8.5,7.0,4.800000000000001
48275,5.600000000000001,4.7,3.9
48277,6.4,5.5,4.3
48279,5.2,5.0,4.0
48281,5.4,4.9,3.7
48283,6.7,4.3,2.8
48285,5.2,4.5,3.3
48287,5.0,4.4,3.5
48289,7.800000000000001,7.0,5.2
48291,10.5,9.0,5.800000000000001
48293,7.100000000000001,6.2,4.600000000000001
48295,4.100000000000001,3.8,3.1
48297,7.5,6.7,4.2
48299,5.800000000000001,4.9,3.8
48301,1.7,1.0,0.6000000000000001
48303,5.800000000000001,4.600000000000001,3.4
48305,5.5,4.3,3.5
48307,7.600000000000001,6.4,4.2
48309,6.2,4.800000000000001,3.6
48311,2.8,2.3,1.8
48313,7.2,6.2,4.3
48315,8.3,6.800000000000001,5.0
48317,6.100000000000001,4.800000000000001,3.1
48319,5.600000000000001,4.800000000000001,3.3
48321,10.5,8.1,5.9
48323,15.2,12.3,7.9
48325,6.4,5.0,3.8
48327,5.100000000000001,4.800000000000001,3.8
48329,8.1,5.5,2.9
48331,7.2,5.800000000000001,4.3
48333,4.100000000000001,4.5,4.2
48335,7.9,7.0,4.4
48337,6.7,5.2,3.6
48339,7.5,5.800000000000001,3.9
48341,3.7,3.4,2.6
48343,11.3,10.2,6.300000000000001
48345,4.600000000000001,5.100000000000001,4.100000000000001
48347,6.600000000000001,5.5,4.3
48349,6.2,5.100000000000001,3.9
48351,11.2,10.2,6.800000000000001
48353,5.4,4.7,3.7
48355,8.9,6.800000000000001,4.7
48357,5.800000000000001,4.600000000000001,3.4
48359,3.9,3.6,3.0
48361,10.6,8.8,5.7
48363,7.0,5.7,3.8
48365,8.4,6.600000000000001,4.600000000000001
48367,5.800000000000001,4.5,3.3
48369,2.6,2.9,2.4
48371,8.3,6.9,4.0
48373,8.8,7.9,5.5
48375,5.5,4.3,3.2
48377,14.9,10.2,6.2
48379,4.7,3.9,3.4
48381,4.5,3.6,2.8
48383,9.8,7.300000000000001,3.5
48385,6.600000000000001,6.0,4.600000000000001
48387,6.4,5.9,5.100000000000001
48389,7.2,5.800000000000001,3.4
48391,8.3,6.600000000000001,4.7
48393,4.5,4.2,3.8
48395,6.4,5.2,3.8
48397,5.9,4.4,3.3
48399,4.9,4.100000000000001,3.3
48401,7.4,6.0,4.2
48403,10.9,9.4,7.0
48405,9.600000000000001,8.1,5.800000000000001
48407,8.1,7.300000000000001,4.800000000000001
48409,10.2,8.700000000000001,6.0
48411,5.2,4.7,3.5
48413,6.9,5.5,3.5
48415,8.3,6.600000000000001,4.100000000000001
48417,5.300000000000001,4.0,2.7
48419,6.800000000000001,5.4,4.2
48421,3.1,3.1,2.8
48423,6.800000000000001,5.2,3.7
48425,6.600000000000001,5.2,3.8
48427,17.5,15.6,11.0
48429,6.100000000000001,4.9,3.7
48431,6.5,5.100000000000001,4.0
48433,5.100000000000001,4.2,3.0
48435,9.9,8.1,5.7
48437,5.2,5.0,4.0
48439,7.4,5.300000000000001,3.6
48441,5.5,4.4,3.3
48443,4.5,3.6,3.4
48445,7.300000000000001,6.0,4.100000000000001
48447,4.9,2.9,3.1
48449,6.7,5.4,4.3
48451,6.4,4.9,3.4
48453,6.4,4.100000000000001,2.8
48455,8.1,7.300000000000001,5.2
48457,9.9,8.5,6.0
48459,7.7,6.2,4.3
48461,5.7,5.2,2.7
48463,6.4,5.5,4.4
48465,8.4,5.9,4.5
