fips_code,crime_rate_per_100000,crime_id,murder,rape,robbery,burglary
21237,27.59381898,2898,0,1,0,20
39111,27.42543709,2899,0,2,0,42
31181,27.11496746,2900,0,0,0,9
29129,27.06359946,2901,0,0,0,7
20183,26.98327037,2902,0,0,1,2
21103,25.89834898,2904,0,1,0,24
18179,25.16718199,2906,0,2,0,118
17149,24.76780186,2907,0,3,1,15
39159,24.38749859,2908,0,6,1,65
48319,24.2248062,2910,0,0,0,7
18135,23.41280681,2915,0,0,0,134
21175,22.42152466,2921,0,0,0,8
21109,22.34304014,2922,0,1,0,29
28145,21.61850544,2926,0,0,2,90
27117,21.57497303,2927,0,0,0,17
21189,21.486893,2928,0,0,0,8
48333,20.37905034,2932,0,0,0,14
21169,20.0340579,2934,0,1,0,32
18119,18.86703457,2938,0,4,0,2
21119,18.77816725,2939,0,1,0,19
21187,18.75820672,2940,0,1,0,57
21131,18.15046737,2943,0,1,0,6
28111,16.486687,2945,0,0,1,7
31167,16.30523398,2946,0,0,0,7
19173,16.23113131,2948,0,0,0,4
21165,15.90330789,2949,0,1,0,11
17129,15.86420243,2950,0,1,0,25
19185,15.62011871,2951,0,0,0,6
5121,14.84780995,2953,0,0,1,17
51678,13.94700139,2955,0,0,0,37
48377,13.88696014,2956,0,0,0,5
37121,13.0480167,2960,0,0,2,8
18169,12.36170344,2961,0,3,0,16
31107,11.67542323,2964,0,0,0,6
51159,11.16944041,2965,0,0,0,9
19165,8.360504975,2969,0,0,0,1
48351,7.072135785,2972,0,0,0,23
2290,0,2978,0,0,0,0
27143,0,2981,0,0,0,0
21201,0,2985,0,0,0,0
28119,0,2987,0,0,0,0
31171,0,2991,0,0,0,0
31175,0,2992,0,0,0,0
1105,0,2996,0,0,0,0
2282,0,3000,0,0,0,0
31165,0,3002,0,0,0,0
28129,0,3003,0,0,0,0
2164,0,3006,0,0,0,0
27107,0,3009,0,0,0,0
39121,0,3010,0,0,0,0
30103,0,3016,0,0,0,0
31115,0,3020,0,0,0,0
31103,0,3035,0,0,0,0
48269,0,3039,0,0,0,0
28153,0,3040,0,0,0,0
28125,0,3041,0,0,0,0
28157,0,3042,0,0,0,0
13125,0,3043,0,0,0,0
31113,0,3044,0,0,0,0
28161,0,3048,0,0,0,0
13165,0,3050,0,0,0,0
31117,0,3051,0,0,0,0
17151,0,3053,0,0,0,0
2240,0,3054,0,0,0,0
20105,0,3055,0,0,0,12
46111,0,3056,0,0,0,0
48345,0,3062,0,0,0,10
31163,0,3065,0,0,0,6
31133,0,3066,0,0,0,3
17171,0,3075,0,0,0,9
29171,0,3077,0,0,0,8
48197,0,3079,0,0,0,48
30101,0,3080,0,0,0,14
28103,0,3081,0,0,0,6
31121,0,3082,0,0,0,5
28117,0,3083,0,0,0,3
48169,0,3084,0,0,0,19
31143,0,3093,0,0,0,11
48105,0,3097,0,0,0,0
48295,0,3098,0,0,0,3
27125,0,3100,0,0,0,0
31183,0,3101,0,0,0,0
48301,0,3104,0,0,0,0
46119,0,3109,0,0,0,0
31173,0,3113,0,0,0,0
18161,0,3114,0,0,0,0
46121,0,3115,0,0,0,0
48271,0,3116,0,0,0,2
30109,0,3118,0,0,0,2
19143,0,3121,0,0,0,3
48421,0,3122,0,0,0,4
46105,0,3123,0,0,0,2
48101,0,3131,0,0,0,3
18115,0,3132,0,0,0,2
28101,0,3133,0,0,0,4
4025,0,3135,0,0,0,1
